1403636581.913555384 -0.008462 0.004128 -0.113165 0.810042 0.063770 0.578860 -0.068457
1403636582.013555527 -0.026197 0.004534 -0.178339 0.819128 0.060790 0.566489 -0.066519
1403636582.113555431 -0.032566 0.007699 -0.224219 0.828713 0.067879 0.550929 -0.071447
1403636582.213555574 -0.039623 0.013800 -0.245097 0.835594 0.071638 0.539538 -0.074496
1403636582.413555384 -0.033661 0.017990 -0.191985 0.833266 0.073371 0.542282 -0.078828
1403636582.513555527 -0.033051 0.019367 -0.131984 0.825255 0.076048 0.553586 -0.081938
1403636582.613555431 -0.033096 0.018715 -0.063543 0.821108 0.074024 0.560765 -0.076449
1403636582.713555574 -0.030040 0.014793 0.003525 0.819097 0.070106 0.564672 -0.072878
1403636582.813555479 -0.019855 0.011656 0.065896 0.815318 0.061407 0.571486 -0.069924
1403636582.913555384 -0.015509 0.005948 0.127537 0.807376 0.051191 0.583990 -0.066919
1403636583.013555527 -0.014521 0.002018 0.174098 0.797561 0.045466 0.598242 -0.062729
1403636583.113555431 -0.006188 0.002157 0.195222 0.792589 0.047083 0.604700 -0.062648
1403636583.313555479 -0.016873 -0.004155 0.139184 0.793953 0.051227 0.602939 -0.058985
1403636583.413555384 -0.012254 -0.004981 0.080051 0.795459 0.054864 0.600106 -0.064097
1403636583.513555527 -0.012576 -0.004687 0.012660 0.797818 0.062516 0.595574 -0.069780
1403636583.613555431 -0.014543 -0.003393 -0.057666 0.803810 0.064886 0.587712 -0.065378
1403636583.713555574 -0.011741 -0.002703 -0.129563 0.814412 0.065753 0.571998 -0.072302
1403636583.813555479 -0.013419 -0.000495 -0.189815 0.826664 0.064249 0.553645 -0.077305
1403636583.913555384 -0.015614 0.001312 -0.237308 0.833365 0.068170 0.543287 -0.075463
1403636584.013555527 -0.017245 0.004559 -0.266294 0.835061 0.075433 0.539608 -0.076202
1403636584.113555431 -0.017862 0.007544 -0.269571 0.834413 0.079399 0.539394 -0.080649
1403636584.213555574 -0.013747 0.009231 -0.244235 0.834347 0.079341 0.539679 -0.079471
1403636584.313555479 -0.008544 0.009846 -0.196525 0.832482 0.075285 0.543723 -0.075311
1403636584.413555384 0.004436 0.008052 -0.136454 0.830785 0.075401 0.547242 -0.068101
1403636584.513555527 0.006622 0.007599 -0.064967 0.826572 0.073773 0.554560 -0.061632
1403636584.613555431 0.020200 0.011200 0.000715 0.818135 0.067034 0.568155 -0.057984
1403636584.713555574 0.017099 0.005481 0.077999 0.805774 0.061672 0.586232 -0.057079
1403636584.813555479 0.018011 0.002993 0.137100 0.795445 0.059567 0.600087 -0.060119
1403636584.913555384 0.014922 0.002113 0.179100 0.789050 0.056044 0.608329 -0.064774
1403636585.213555574 0.016405 0.001786 0.144392 0.794246 0.047198 0.602523 -0.062547
1403636585.313555479 0.017386 -0.000553 0.097063 0.797788 0.049032 0.598547 -0.053587
1403636585.413555384 0.018098 -0.002769 0.043979 0.801264 0.052142 0.594364 -0.044592
1403636585.513555527 0.016609 -0.003835 -0.008263 0.807282 0.061695 0.584705 -0.051083
1403636585.613555431 0.007509 -0.005509 -0.053436 0.813190 0.070943 0.574456 -0.060736
1403636585.713555574 -0.008598 -0.007718 -0.082721 0.820289 0.075267 0.562379 -0.072050
1403636585.813555479 -0.016646 -0.009345 -0.099616 0.828863 0.074930 0.548493 -0.080791
1403636585.913555384 -0.027662 -0.010827 -0.103412 0.838779 0.075007 0.531975 -0.088469
1403636586.013555527 -0.035421 -0.012287 -0.101610 0.851080 0.071152 0.512921 -0.086673
1403636586.113555431 -0.041646 -0.012713 -0.097763 0.864274 0.062516 0.493487 -0.074789
1403636586.213555574 -0.048791 -0.009897 -0.092295 0.874324 0.054630 0.477310 -0.068901
1403636586.313555479 -0.058699 -0.008273 -0.087854 0.885106 0.049909 0.457843 -0.066910
1403636586.413555384 -0.069937 -0.009246 -0.085058 0.895709 0.043983 0.437678 -0.064877
1403636586.513555527 -0.080716 -0.013943 -0.082760 0.903816 0.048629 0.419968 -0.066177
1403636586.613555431 -0.086349 -0.021788 -0.078843 0.908078 0.055764 0.408879 -0.071427
1403636586.813555479 -0.080866 -0.039799 -0.072333 0.904140 0.058594 0.415436 -0.080692
1403636587.013555527 -0.070148 -0.045156 -0.072986 0.899359 0.068960 0.423216 -0.085357
1403636587.313555479 -0.048438 -0.062429 -0.074450 0.903220 0.072495 0.414804 -0.082918
